CodFee;;Nachnahmegebühr;Cod Fee;;;;;;;;;;;51
Escrow;;Treuhandservice;Escrow;;;;;;;;;;;52
Cash;;Barzahlung;Cash;;;;;;;;;;;53
CreditCard;;Kreditkarte;Credit Card;;;;;;;;;;;54
COD;;Nachnahme;Pay With COD;;;;;;;;;;;55
shippingUnit;;Versandeinheiten;shipping unit;;;;;;;;;;;56
uniFile;;Universaldateien;Universal CSV-Files;;;;;;;;;;;57
shippingCostYatego;;Versandkostenaufschlag;delivery expenses surcharge;;;;;;;;;;;58
deliveryTime;;Lieferzeit;delivery time;;;;;;;;;;;59
calc;;Berechnung;Calculation;;;;;;;;;;;60
vkAllArticle;;Versandkostenaufschlag nur einmalig;delivery expenses surcharge per item group;;;;;;;;;;;61
gallery;;Galerie;gallery;;;;;;;;;;;62
ourCat;;Unsere Kategorie;Our Category;;;;;;;;;;;63
okDelete;;Daten wurden gelöscht;Data deleted;;;;;;;;;;;64
deleteTxt;;Sollen die markierten Daten gelöscht werden?;The selected data should be removed?;;;;;;;;;;;65
topOffer;;Top-Angebot;Top Offer;;;;;;;;;;;66
vkOneArticle;;Versandkostenaufschlag für jeden Artikel;delivery expenses surcharge per item;;;;;;;;;;;67
falseMemberName;;Dieser Benutzername kann nicht verwendet werden!<br />Es wird weiterhin der alte verwendet. ;This user name cannot be used!<br />The old one is used furthermore.;;;;;;;;;;;68
impCat;;Kategorien importieren (Upload);import categories (upload);;;;;;;;;;;69
expCat;;Kategorien exportieren (Download);export categories (download);;;;;;;;;;;70
theirData;;Eigene Daten;Qwn data;;;;;;;;;;;71
myPrice;;Ihr Preis;Your price;;;;;;;;;;;72
sendContact;;Anfrage jetzt Senden!;Send Now!;;;;;;;;;;;73
helpInOut;;Hilfe ein-/ausblenden;Help show/hide;;;;;;;;;;;74
noData;;Keine Daten vorhanden!;No data available!;;;;;;;;;;;75
ekPrice;;EK-Preis;purchase price;;;;;;;;;;;76
ownInfo;;kurze Beschreibung;short description;;;;;;;;;;;77
inBasket;;In Warenkorb legen;Add to shopping cart;;;;;;;;;;;78
moreCsvFiles;;Nicht aktivierte Schnittstellen;non-activated interfaces;;;;;;;;;;;79
detailPic;;Detail-Bild;Detail-Pic;;;;;;;;;;;80
maxiPic;;XL-Bild;XL-Pic;;;;;;;;;;;81
noCatExists;;Für diese Schnittstelle werden keine Kategorien benötigt!;No categories necessary for this interface !;;;;;;;;;;;82
minOrderPieces;;Mindestbestellmenge;minimum order quantity;;;;;;;;;;;83
visible;;sichtbar;visible;;;;;;;;;;;84
not;;nicht;not;;;;;;;;;;;85
quantitySetup;;Bestandsverwaltung;stock management;;;;;;;;;;;86
provision;;Provision;provision;;;;;;;;;;;87
abholung;;Abholung;collection;;;;;;;;;;;88
verfallsdatum;;Verfallsdatum;use-by date;;;;;;;;;;;89
priceArt;;Preisart;price type;;;;;;;;;;;90
shippingCost;;Versandkosten;shippingcost;;;;;;;;;;;91
withComma;;mit Komma trennen;split with comma;;;;;;;;;;;92
state;;Zustand;State;;;;;;;;;;;93
uploadOk;;Daten wurden übertragen;Upload Ok;;;;;;;;;;;94
noFTPconnection;;Es konnte keine Verbindung mit Ihrem FTP-Server hergestellt werden. Überprüfen Sie Ihre FTP-Einstellungen.;FTP connection error! Please, check your settings.;;;;;;;;;;;95
downloadLink;;Downloadlink;Downloadlink;;;;;;;;;;;96
category;;Kategorien;Categories;;;;;;;;;;;97
bisWiderruf;;Bis auf Widerruf;Until further notice;;;;;;;;;;;98
problemEmail;;Fragen, Probleme?;Questions, Problems?;;;;;;;;;;;99
pictures;;Bilder;Images;;;;;;;;;;;100
shippingGroup;;Versandgruppe;shipping group;;;;;;;;;;;101
buyer;;Käufer;Buyer;;;;;;;;;;;102
seller;;Händler;Seller;;;;;;;;;;;103
refundOptions;;Rückgabe-Möglichkeit;RefundOptions;;;;;;;;;;;104
exchange;;Umtausch;Exchange;;;;;;;;;;;105
merchandiseCredit;;Gutschrift;MerchandiseCredit;;;;;;;;;;;106
moneyBack;;Geld zurück;MoneyBack;;;;;;;;;;;107
returnsWithinOption;;Rückgabefrist;ReturnsWithinOption;;;;;;;;;;;108
returnsAcceptedOption;;Rückgabe akzeptiert;ReturnsAcceptedOption;;;;;;;;;;;109
payPalAccepted;;Paypal akzeptiert;PayPalAccepted;;;;;;;;;;;110
dispatchTimeMax;;Versanddauer nach Bezahlung;DispatchTimeMax;;;;;;;;;;;111
hitCounter;;Besucherzähler;HitCounter;;;;;;;;;;;112
shipToLocations;;Versandregion;ShipToLocations;;;;;;;;;;;113
additionalDetails;;Voraussetzungen/Informationen zur Rücksendung (max. 500 Zeichen);AdditionalDetails;;;;;;;;;;;114
paymentSeeDescription;;Payment See Description;Payment See Description;;;;;;;;;;;115
internationalInsuranceOption;;Internationale Versicherung;InternationalInsuranceOption;;;;;;;;;;;116
internationalInsuranceFee;;Int. Versicherungsbetrag (0,00);InternationalInsuranceFee;;;;;;;;;;;117
ShippingCostPaidBy;;Rücksendung zahlt;ShippingCostPaidBy;;;;;;;;;;;118
statusArticle;;Artikel gleich veröffentlichen;publish article immediately;;;;;;;;;;;119
urlYatego;;Link zu externer Seite;external link;;;;;;;;;;;120
setupCross;;Einstellungen für Crossdaten;settings for cross-data;;;;;;;;;;;121
crossTrenner;;Cross-Daten Trenner;cross-data separator;;;;;;;;;;;122
articleSeller;;Daten übernehmen;assume data;;;;;;;;;;;123
allArticleTxt;;Filter - Nuller;filter - noughties;;;;;;;;;;;124
fileFilter;;Filter;filter;;;;;;;;;;;522
moreTxtToArticleNumber;;Zusatz zur Art.-Nr.;art. no. addon;;;;;;;;;;;125
readFileButton;;Daten jetzt einlesen;import now;;;;;;;;;;;126
readok;;Der Inhalt dieser Datei wurde erfolgreich eingelesen! Speichern nicht vergessen!;Contents of this file have been read in successfully! Do not forget to save!;;;;;;;;;;;127
templates;;Templates;templates;;;;;;;;;;;128
editTemplateTxt;;Template bearbeiten;edit template text;;;;;;;;;;;129
designEntryTxt;;Template für den Datensatz (Produktbeschreibung);template for data record (product description);;;;;;;;;;;130
readFileTxt;;Datendatei importieren;data file import;;;;;;;;;;;131
newTemplateTxt;;Neues Template anlegen;create new template;;;;;;;;;;;132
mySetup;;Meine Einstellungen;my Setup;;;;;;;;;;;133
firstFile;;Hauptdatei;main file;;;;;;;;;;;134
media;;Medien;media;;;;;;;;;;;135
days;;Tage;Days;;;;;;;;;;;136
returnMethods;;Rücknahmebedingungen;Return Methods;;;;;;;;;;;137
minQuantity;;Min.Bestellmg.;min. order quantity;;;;;;;;;;;138
productStart;;Daten auf Startseite;data on home page;;;;;;;;;;;139
yes;;ja;yes;;;;;;;;;;;140
layoutMallux;;Layout Beschreibung / Produktbilder;layout description / article image;;;;;;;;;;;141
rebate;;Rabatt;rebate;;;;;;;;;;;142
noOrderSee;;nur zur Ansicht;for display only;;;;;;;;;;;143
activ;;aktiv;activ;;;;;;;;;;;144
toTens;;auf Zehner runden;round to tens;;;;;;;;;;;145
customize;;anpassen;customize;;;;;;;;;;;146
no;;nein;no;;;;;;;;;;;147
on;;auf;on;;;;;;;;;;;148
falseNumber;;Die eingegebene Kundennummer ist bereits für einen anderen Kunden vergeben.;The given customer ID is already in use by another customer.;;;;;;;;;;;149
newCustomerTxt;;Neuen Kunden anlegen;create new customer;;;;;;;;;;;150
noCatChoice;;Es wurden keine Kategorien ausgewählt;No categories selected;;;;;;;;;;;151
noAllarticleTxt;;Daten einschränken;restrict data;;;;;;;;;;;152
allMarkOff;;Auswahl entfernen;clear selection;;;;;;;;;;;153
international;;International;international;;;;;;;;;;;154
shippingType;;Versandart;shipment type;;;;;;;;;;;155
shippingCostOther;;Zusatzkosten;additional costs;;;;;;;;;;;156
shippingTo;;Versand nach;shipping to;;;;;;;;;;;157
national;;National;national;;;;;;;;;;;158
cost;;Kosten;costs;;;;;;;;;;;159
shipping;;Versand;shipping;;;;;;;;;;;160
articleCountry;;Produktstandort;product location;;;;;;;;;;;161
new;;neu;new;;;;;;;;;;;162
inDir;;im Ordner;in the directory;;;;;;;;;;;163
allCatDownloadTxt;;Liste GALLAY-Shopkategorien;GALLAY shop category listing;;;;;;;;;;;164
picFileHead;;Download von Bilddateien ;image files for downloading;;;;;;;;;;;165
noCurrent;;Es sind neue Bilder bei uns vorhanden, die übertragen werden können.;outdated, new pictures can be found on our server;;;;;;;;;;;166
newPics;;neue Bilder;new pitures;;;;;;;;;;;167
sonstiges;;Sonstiges;Miscellaneous;;;;;;;;;;;168
picDir;;Bildordner;image directory;;;;;;;;;;;169
action;;Aktion;action;;;;;;;;;;;170
noExists;;nicht vorhanden;does not exist;;;;;;;;;;;171
myExistsFile;;Aktivierte Schnittstellen;activated interfaces;;;;;;;;;;;172
uniFileHead;;Universaldateien zum Download;universal files for downloading;;;;;;;;;;;173
uniFileTxt;;;Universal files will be updated once a day (between 18:30 and 19:00 CET).<br />There is no guarantee that all articles are still present in the shop, except at the exact time of  the update. All articles are subject to prior sale by another vendor.;;;;;;;;;;;174
noDown;;Datei laden fehlgeschlagen;file download failed;;;;;;;;;;;175
thisCat;;Diese Kategorien;these category;;;;;;;;;;;176
sendTxtNow;;jetzt durchführen;O.k.;;;;;;;;;;;177
export;;Exportieren;export;;;;;;;;;;;178
import;;Importieren;import;;;;;;;;;;;179
lastUpdate;;zuletzt aktualisiert;last updated;;;;;;;;;;;180
myPics;;Meine Bilder;my Pics;;;;;;;;;;;181
myCat;;Meine Kategoriezuordnungen;my categories classifications;;;;;;;;;;;182
ownCatOld;;Bitte eine Kategoriezuordnung wählen;Please select a categories classification;;;;;;;;;;;183
ownCatTxt;Kategoriezuordnung;Kategoriezuordnung;set category classification;;;;;;;;;;;184
articleCategorie;;Datenkategorie;data category;;;;;;;;;;;185
lagerType;;Lagertyp;warehouse location;;;;;;;;;;;186
vpk;;Verpackungen;packagings;;;;;;;;;;;187
choiceTypeTxt;;Wählen Sie die Schnittstelle;select interface;;;;;;;;;;;188
settingsBLong;;Bearbeitung;adaption;;;;;;;;;;;189
newCatTxt;;Neue Kategoriezuordnung anlegen;Create new category allocation;;;;;;;;;;;190
fileDown;;Aktuelle Version dieser Datei speichern;save current version of this file;;;;;;;;;;;191
fileRefreshDown;;Datei erstellen und herunterladen;update file and download;;;;;;;;;;;192
fileRefresh;;Datei aktualisieren;update file;;;;;;;;;;;193
priceArticle;;Filter - Preis;filter - price;;;;;;;;;;;194
calculation;;Preiskalkulation;price calculation;;;;;;;;;;;195
katFeld;;Kategoriefeld;category field;;;;;;;;;;;196
activatedInterfaces;;Aktivierte Schnittstellen;activated interfaces;;;;;;;;;;;197
abk;;Abkürzung;abbreviation;;;;;;;;;;;198
allInterface;;Schnittstellen;existing interfaces;;;;;;;;;;;199
feldtrenner;;Feldtrenner;field separator;;;;;;;;;;;200
fileType;;Dateityp;file type;;;;;;;;;;;201
footer;;Fußbereich;footer;;;;;;;;;;;202
content;;Inhaltsbereich;content area;;;;;;;;;;;203
head;;Kopfbereich;head area;;;;;;;;;;;204
newInterfaceTxt;;Neue Schnittstelle anlegen;New Interface;;;;;;;;;;;205
type;;Schnittstelle;Type;;;;;;;;;;;206
fileExistsUser;;Die ausgewählte Datei steht für diesen Benutzer nicht zur Verfügung. Das kann daran liegen das dieser keine Berechtigung dafür hat. Sollte ein anderes Problem vorliegen wenden Sie sich bitte an den Administrator.;The chosen file type is not available for this user. This could be a problem with his authorisation. For any other problems, please, call the administrator.;;;;;;;;;;;207
fileExists;;Die ausgewählte Datei existiert nicht für diesen Benutzer. Mit unten stehenden Links können Sie diese anlegen.;The chosen file type does not exist for this user. You can create it with the links below.;;;;;;;;;;;208
fileSize;;Dateigröße;file size;;;;;;;;;;;209
fileInfo;;Datei-Informationen;file information;;;;;;;;;;;210
buildOn;;erstellt am;created on;;;;;;;;;;;211
lastDownload;;letzter Download;last download;;;;;;;;;;;212
size;;Größe;size;;;;;;;;;;;213
zRight;;Zahlungsrichtlinien;payment policy;;;;;;;;;;;215
zMethod;;Zahlungsart;payment method;;;;;;;;;;;216
allMark;;Alle auswählen;select all;;;;;;;;;;;217
domain;Domain;Domain;TLD;;;;;;;;;;;218
mwst;Mehrwertsteuer;Mehrwertsteuer;vat;;;;;;;;;;;219
urlShop;Pfad zum Shop;Shop-Adresse;Shop-URL;;;;;;;;;;;220
imgPath;;Bildpfad;image path;;;;;;;;;;;221
skPlus;;Aufpreis SK;surcharge SK;;;;;;;;;;;222
for;;für;for;;;;;;;;;;;223
programm;;Programm;programm;;;;;;;;;;;224
siteIsLoading;;Die aufgerufene Seite wird geladen.;page is loading;;;;;;;;;;;225
setupSonst;;Allgemeines;general;;;;;;;;;;;226
her;;Ihre;Your;;;;;;;;;;;227
placeholderHead5;;sonstiger Kundentext (HTML);miscellaneous customer's text;;;;;;;;;;;228
placeholderHead4;;Einleitungstext (HTML);preliminary text (HTML);;;;;;;;;;;229
placeholderHead3;;Titel (HTML);titel (HTML);;;;;;;;;;;230
placeholderHead2;;Bild-Link (Banner);image link (banner);;;;;;;;;;;231
placeholderHead1;;Ihr Layout (HTML);your layout (HTML);;;;;;;;;;;232
placeholderDesign;;Grundstruktur des Designs;basic design structure;;;;;;;;;;;233
placeholder;;Platzhalter;placeholder;;;;;;;;;;;234
articleAloneTxt;;Filter - Einzelne Datensätze (Komma getrennt);individual records (seperate by comma);;;;;;;;;;;235
help;;Hilfe;help;;;;;;;;;;;236
pricemore;;Preisaufschlag;surcharge;;;;;;;;;;;237
pricefactor;;Preisfaktor;price factor;;;;;;;;;;;238
to;;bis;to;;;;;;;;;;;239
from;;von;from;;;;;;;;;;;240
settingsFormat;;Format / Dauer;format / duration;;;;;;;;;;;241
settingsLong;;Einstell-Dauer;set duration;;;;;;;;;;;242
settingsCountry;;Einstell-Land;set country;;;;;;;;;;;243
settingsVolume;;Einstellmenge;set ammount;;;;;;;;;;;244
round;;runden;round;;;;;;;;;;;245
prices;;Preise;prices;;;;;;;;;;;246
price;;Preis;price;;;;;;;;;;;247
currency;;Währung;currency;;;;;;;;;;;248
kurz;;Kürzel;short;;;;;;;;;;;249
in;;in;in;;;;;;;;;;;250
article;;Produkte;products;;;;;;;;;;;251
setupAll;;Grundeinstellungen;basic setup;;;;;;;;;;;252
bigger;;größer als;more than;;;;;;;;;;;253
smaller;;kleiner als;less than;;;;;;;;;;;254
choice;;auswählen;select;;;;;;;;;;;255
setup;;Einstellungen;Settings;;;;;;;;;;;256
dauer;;Einstelldauer;set duration;;;;;;;;;;;257
bestandOwnTxt;;Eigenen Lagerbestand einschränken;limit displayed inventory to your own warehouse;;;;;;;;;;;258
bestandTxt;;Filter - Bestand;filter - inventory;;;;;;;;;;;259
go;;Goldschmuck;gold jewelry;;;;;;;;;;;260
si;;Silberschmuck;silver jevelry;;;;;;;;;;;261
amd;;Doubleschmuck;gold plated jewelry;;;;;;;;;;;262
mo;;Modeschmuck;fashion jewelry;;;;;;;;;;;263
gl;;Glasschmuck;glass jewelry;;;;;;;;;;;264
ha;;Halbfabrikate (lose Teile);loose parts;;;;;;;;;;;265
backList;;zurück zur Liste;back to the list;;;;;;;;;;;266
offline;;sperren;offline;;;;;;;;;;;267
newFileTxt;;Eine neue Datei anlegen;create a new file;;;;;;;;;;;268
nowNew;;Neu anlegen;create now;;;;;;;;;;;269
language;;Sprache » Land;language » country;;;;;;;;;;;270
fileName;;Dateiname;file name;;;;;;;;;;;271
seeThat;;Vorschau;preview;;;;;;;;;;;272
existsFile;;vorhandene Dateien;existing files;;;;;;;;;;;273
online;;freischalten;approving;;;;;;;;;;;274
zipCode;;PLZ;zip code;;;;;;;;;;;275
edit;;bearbeiten;edit;;;;;;;;;;;276
umsatz;;Umsatz;sales volume;;;;;;;;;;;277
town;;Ort;City/Town;;;;;;;;;;;278
toTop;;nach oben;top;;;;;;;;;;;279
subject;;Betreff;subject;;;;;;;;;;;280
street;;Straße;street;;;;;;;;;;;281
sonst;;Sonstiges;miscellaneous;;;;;;;;;;;282
setupSee;;Einstellungen anzeigen;show settings;;;;;;;;;;;283
server;;Server;server;;;;;;;;;;;284
sendPassEmailSubject;;Ihre Zugangsdaten;Your access data;;;;;;;;;;;285
sendPassEmail;;Hallo __db::vname__ __db::name__.[break][break]Mit dieser Email erhalten Sie Ihre Zugangsdaten[break]für die Seite www.csv4you.de.[break][break]Benutzer: __db::email__[break]Passwort: __db::pass__[break][break]Mit freundlichen Grüßen[break]Ihre Team von csv4you;Hello __db::vname__ __db::name__.[break][break]This Email is to notify you of your access data[break]for our web site www.csv4you.com.[break][break]Username: __db::email__[break]Password: __db::pass__[break][break]Best Regards[break]The team of csv4you;;;;;;;;;;;286
sendPass;;Es wurde eine Email an Ihre hinterlegte Email-Adresse gesendet. ;Email has been send to your e-mail address.;;;;;;;;;;;287
sendokText;;Wir beantworten  Ihre Nachricht innerhalb von 24-48 Stunden, während unserer Geschäftszeiten von Montag bis Freitag.;We will answer to your message within 25 h during our normal business time from Monday through Friday.;;;;;;;;;;;288
sendok;;Vielen Dank!<br />Ihre Anfrage wurde erfolgreich gesendet.;Your enquiry has been successful transmitted to us.;;;;;;;;;;;289
save;;Speichern;save;;;;;;;;;;;290
saveUnder;;als neuen Datensatz speichern;save as new record;;;;;;;;;;;291
picUse;;Bildbenutzung;picture usage;;;;;;;;;;;292
picDataBecome;;Bilddateien erhalten;picture files received;;;;;;;;;;;293
okStatus;;Der Status wurde erfolgreich geändert;status change successful;;;;;;;;;;;294
okUpload;;Ihre Datei wurde geladen.;file(s) load successful;;;;;;;;;;;295
page;;Seite;page;;;;;;;;;;;296
password;;Passwort;password;;;;;;;;;;;297
phone;;Telefon;telephone;;;;;;;;;;;298
okSaveSearch;;Suche wurde erfolgreich gespeichert.;Your search has been saved.;;;;;;;;;;;299
okNew;;Eintrag wurde erfolgreich angelegt;record created;;;;;;;;;;;300
okLogout;;Sie haben sich erfolgreich vom System abgemeldet.;Your are loged off.;;;;;;;;;;;301
okEdit;;Aktualisierung erfolgreich durchgeführt;update successful;;;;;;;;;;;302
noDB;;Es konnte nicht in die Datenbank geschrieben werden;unable to write into data base;;;;;;;;;;;303
noUpload;;Ihre Daten konnten nicht geladen werden.;unable to load file;;;;;;;;;;;304
notEmail;;Prüfen Sie Ihre Emailadresse(n)!;Check your e-Mail address!;;;;;;;;;;;305
notBlank;;Rot markierte Felder müssen ausgefüllt werden!;Red marked fields must be filled in!;;;;;;;;;;;306
noResult;;Leider konnten keine passenden Ergebnisse zu Ihrer Suche gefunden werden.;Unfortunately, there are no results that match your search criteria.;;;;;;;;;;;307
noreadDB;;Es konnte nicht aus der Datenbank gelesen werden;unable to read from data base;;;;;;;;;;;308
noNew;;Eintrag konnte nicht angelegt werden;unable to create record;;;;;;;;;;;309
noEntry;;Ihre Zugangsdaten sind uns nicht bekannt.<br />Vielleicht haben Sie sich nur vertippt? <br />Bitte versuchen Sie es noch einmal.;Your user data did not match our records.<br />Maybe you just misspelled? Please, try again.;;;;;;;;;;;310
newsletter;;Newsletter;newsletter;;;;;;;;;;;311
noEdit;;Aktualisierung konnte nicht durchgeführt werden.;unable to execute update;;;;;;;;;;;312
nameofMember;;Name des Kunden;member's name;;;;;;;;;;;313
signIn;;Anmeldung;Sign In;;;;;;;;;;;314
forgotPassword;;Password vergessen?;Forgot your password?;;;;;;;;;;;315
memberName;;Benutzername;username;;;;;;;;;;;316
ammount;;Menge;ammount;;;;;;;;;;;317
menueHeadline2;;CSV-Dateien;CSV-Files;;;;;;;;;;;318
mitteilung;;Ihre Nachricht;message;;;;;;;;;;;320
myAccount;;Mein Konto;my account;;;;;;;;;;;321
name;;Vorname Name;first name, last name;;;;;;;;;;;322
loginText;;Bitte geben Sie hier Email-Adresse und Passwort ein.;Please, enter your emailadress and password.;;;;;;;;;;;323
loginHeadline;;Melden Sie sich hier mit Ihren Zugangsdaten an;Login yourself with your access data here;;;;;;;;;;;324
controlOrder;;Prüfen und Bestellen;control and order;;;;;;;;;;;325
lock;;Zugang sperren;ban from access;;;;;;;;;;;326
lastSite;;letzte Seite;last page;;;;;;;;;;;327
lastName;;Name;last name;;;;;;;;;;;328
lastLogin;;Letzter Login;last login;;;;;;;;;;;329
kHead3;;FTP-Zugangsdaten Bilder;FTP access data for picture;;;;;;;;;;;330
kHead2;;Zugang zum CSV-Bereich;access to CSV-area;;;;;;;;;;;331
kHead1;;Kundendaten;customer data;;;;;;;;;;;332
kdnr;;Kundennummer;customer ID no.;;;;;;;;;;;333
kat;;Kategorie;category;;;;;;;;;;;334
indFile;;Individuelle Datei;individual file;;;;;;;;;;;335
yourFile;;Ihre Datei;your file;;;;;;;;;;;336
theirFiles;;Ihre Dateien;your files;;;;;;;;;;;337
fshop;;Filialshop;filialshop;;;;;;;;;;;338
formZeile3;;0,00 EUR Umsatz;0.00 € sales volume;;;;;;;;;;;339
formZeile4;;Nutzer gesperrt!;Banned user!;;;;;;;;;;;340
formZeile2;;länger als 2 Monate nicht eingeloggt;not logged in for more then 2 month;;;;;;;;;;;341
formZeile1;;länger als 1 Monat nicht eingeloggt;not logged in for more then 1 month;;;;;;;;;;;342
forgetPassText;;Bitte Ihre E-Mail-Adresse eingeben. Die Zugangsdaten werden Ihnen dann zugeschickt.;Please, enter your e-Mail address and we will send your access data immediately to you.;;;;;;;;;;;343
firstSite;;erste Seite;first page;;;;;;;;;;;344
firstName;;Vorname;first name;;;;;;;;;;;345
firma;;Firma;firm;;;;;;;;;;;346
files;;Dateien;files;;;;;;;;;;;347
file;;Datei;file;;;;;;;;;;;348
nofile;;Die ausgewählte Datei konnte nicht gefunden werden.;This file ist not readable.;;;;;;;;;;;349
noFileText;;<fieldset class="missing">%BREAK%<h2 class="txtRed">Es wurde bisher noch keine Schnittstelle aktiviert.</h2>%BREAK%Sie haben folgende Auswahlmöglichkeiten:<br /><br />%BREAK%<a href="'.makelink(11).'" class="arrow">Individuelle Schnittstellen aktivieren</a><br />%BREAK%<a href="'.makelink(38).'" class="arrow">Eine Standard-Schnittstelle auswählen</a><br /></fieldset>;;;;;;;;;;;;557
existsEmail;;Diese Emailadresse ist bereits registriert.;This email address is already  registered.;;;;;;;;;;;350
falseCode;;Geben Sie bitte die richtigen Zeichen der Spamschutz-Grafik ein.;Please, enter the correct character string found in the anti-SPAM picture.;;;;;;;;;;;351
errorText;;Es ist ein Fehler aufgetreten!;An error occurred!;;;;;;;;;;;352
errorStart;;Es traten folgende Fehler auf:;The following errors occurred:;;;;;;;;;;;353
download;;Download;download;;;;;;;;;;;354
email;;E-Mail;e-Mail;;;;;;;;;;;355
dataSortHead;;Einträge sortieren nach;sort records by;;;;;;;;;;;356
delete;;Löschen;delete;;;;;;;;;;;357
desc;;absteigend;descending;;;;;;;;;;;358
directory;;Verzeichnis;directory;;;;;;;;;;;359
